Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage d/b+1+2;m;55;20 pc8~17;-22;KND;KND;Rage art
in rage d/f1+4;m;19,24;23~24;-6;KND;KND;Rage drive
1;h;10;12;+3;+9;+11;
1, 2;h, h;10,10;12;-1;+7;+10;
1, 2, 1;h, h, h;10,10,8;12;-1;+7;+10;
1, 2, 1, 2;h, h, h, h;10,10,8,5;12;-1;+7;+10;
1, 2, 1, 2, 1;h, h, h, h, h;10,10,8,5,5;12;-1;+7;+10;
1, 2, 1, 2, 1, 2;h, h, h, h, h, h;10,10,8,5,5,5;12;-18;-7;-7;
1, 2, 1, 2, 1, 2, 1;h, h, h, h, h, h, h;10,10,8,5,5,55;12;-18;-7;-7;
1, 2, 1, 2, 1, 2, 1, 2;h, h, h, h, h, h, h, h;10,10,8,5,5,5,5,5;12;-18;-7;-7;
2;h;12;12;+1;+7;+9;
2, 1;h, h;12,12;12;-3;+8;+8;Jails
2, 1, 2;h, h, m;16,16,27;14;-13~-12 OC;Launch;Launch;
2, 1, 3+4;h, h;12,12;12;+1;+12;+12;Ends in TAI
2, 4;h, l;12,14;12;-12;-1;-1;
3;h;22;16;-8;KND;KND;
3, 4;h, h;22,20;16;-8;+3;+3;
3, 4, 3;h, h, h;22,20,25;16;-12;KND;KND;
3, 4, 3, 4, ,;h, h, h, h, , ;22,20,25,20,,;16;-8;+3;+3;
3, 4, 4;h, h, m;22,20,17;16;-12~-10 OC;KND;KND;
4 or f+4;h;20;15~16;-8~-7;+3~+4;+3~+4;
4, 4;h, m;20,18;15~16;-12~-10 OC;KND;KND;
4, 3;h, h;20,25;15~16;-12;KND;KND;
4, 3, 4;h, h, h;20,25,20;15~16;-8;+3;+3;
4, 3, 4, 3, ,;h, h, h, h, , ;20,25,20,25,,;15~16;-12;KND;KND;
1+2;m;19;19~20;-12~-11;+8~+9 OC;Launch;
1+2, 1+2;m, m;19,22;19~20;-13~-12;Launch;Launch;
1+2, 3+4;m;19;19~20;-3~-2;+17;Launch;
TAI1;h;17;11;-3;+8;CS;
TAI2;h;20;14~15;-9;KND;CS;Homing, tail spin
TAI3;l;24;20~21;-12~-11;+9~+10;+9~+10;
TAI4;m;14;13~14;-14;-3;CS;
TAI4,1;m,h;14,20;13~14;-9~-8;+10g~+11g;+10g~+11g;Tail spin
TAI1+2;m;15;26 (pc8~26);-12;Throw(0);Throw(0);Power crush
TAI f+1+2;m;35;20~25;+3~+8/+5~+10;KND;KND;Wall crush
TAI d/f+1+2;parry;0;??;-;+16 (?);-;Command low parry
TAI db+1+2;!;40;50~59;KND;KND;KND;
TAI d/b+1+2;l;20;22~30;-24~-16;KND;KND;
f+2;m (TC);14;14;-12;+1;CS;
f+2~1;h;16;16(17~);+4;+12;+12;
f+3;h;25;18;-6;KND;KND;
f+1+2;h;30;14;-12;KND;KND;
f+3+4;m;28;23~24 pc8~24;-13~-12;KND;KND;Power crush
d/f+1;m;12;13~14;-5~-4;+6~+7;+6~+7;
d/f+1, 4;m, m;12,12;13~14;-13;-2;-2;
d/f+1, 4, 1;m, m, h;12,12,10;13~14;-6;+8;+8;
d/f+2;m;16;16~17;-11~-10;Launch (JG?);Launch (JG?);
d/f+2, 1;m, h;17,10;16~17;-7;+4;+4;
d/f+2, 1, 2;m, h, h;17,10,10;16~17;-1;+7;+10;
d/f+2, 1, 2, 1;m, h, h, h;17,10,10,8;16~17;-1;+7;+10;
d/f+2, 1, 2, 1, 2;m, h, h, h, h;17,10,10,8,5;16~17;-1;+7;+10;
d/f+2, 1, 2, 1, 2, 1;m, h, h, h, h, h;17,10,10,8,5,5;16~17;-1;+7;+10;
d/f+2, 1, 2, 1, 2, 1, 2;m, h, h, h, h, h, h;17,10,10,8,5,5,5;16~17;-18;-7;-7;
d/f+2, 1, 2, 1, 2, 1, 2, 1;m, h, h, h, h, h, h, h;17,10,10,8,5,5,5,5;16~17;-18;-7;-7;
d/f+2, 1, 2, 1, 2, 1, 2, 1, 2;m, h, h, h, h, h, h, h, h;17,10,10,8,5,5,5,5,5;16~17;-18;-7;-7;
d/f+3;l;17;16~17;-12~-11;+5~+6 OC;+5~+6 OC;
d/f+4;m;14;15;-30;-19;-19;
d/f+4, 1;m, h;14,13;15;-9;-3;-3;
d/f+4, 1, 2;m, h, m;14,13,20;15;-14~-13;KND;KND;
d/f+1+2;mm;10,10;20,37;-7;+4;+4;
d/f+1+2, 1;mm, m;10,10,21;20,37;-16~-15;KND;KND;
d/f+2+3;l (TC);20;22~23 RC;-15~-14;KND;KND;
d+1;m;22;25~26;+3~+4 OC;+7~+8 OC;Launch;
d+1, 3+4;m, (Special) (TC);22;25~26;+5~+6 OC;+9~+10 OC;Launch;
d+2;l (TC);15;29;-14;-3;-3;
d+2, 2, ,,;l (TC), , , ;15,10,,,;29;-17;-11;-11;
d+2, 1;l (TC), m;15,12;29 RC;-7;-1;+1;
d+4;l;18;21;-14;-3;Launch;
d+1+2;m;29;16;+1;+1;Throw(0);
d+1+4;m;35;44;-25 OC;KND;KND;
d+1+4* (Short hold);m;40;55;-25 OC;KND;KND;
d+1+4* (Long hold);m;50;93;-25 OC;KND;KND;
d+1+4* (Very long hold);!;67;90;KND;KND;KND;
d/b+2;l (TC);16;29;-22;Launch;Launch;
b+1;h;18;20~21;-6~-4;+5~+7;+5~+7;Homing
b+1, 1;h, h;18,15;20~21;-6~-5;0~+1;+6~+7OB;
b+1, 1, 1;h, h, m;18,15,20;20~21;+2~+4 OC;KND;KND;
b+1, 1, 1, 3+4;h, h, m;18,15,20;20~21;+3~+5 OC;KND;KND;
b+1~2;mmmm;2,2,2,21;14(14);-14;KND;KND;
