template;https://gfycat.com/ifr/{url}
1, 2, 2;SoftPeskyImperialeagle
1, 2, 3;FancyLividIsabellineshrike
1, 2, 4;DiscreteKindlyCommabutterfly
2, 1;InfatuatedEcstaticAssassinbug
2, 3;BlankFrenchFieldmouse
(2), 3;SadScrawnyDassie
3;WeeDisguisedIguanodon
4, 1;SoggyFakeEwe
4, 3;AmazingSharpBandicoot
4, 4;PoorIdealisticAmethystgemclam
uf+3;SleepyDimKestrel
uf+4;ExaltedRightHousefly
f+2, 3;ForkedPassionateLhasaapso
f+2, 4, 4;HarshTameAustraliansilkyterrier
f+3;GenuineCooperativeAmbushbug
f+4;UnhappyKindheartedElver
f+3+4;ImperturbableConcreteKinglet
f, F+3 (or f, f, f+3) (close);VigorousFairGallinule
f, f, f+2 (or WR+2);CommonGlisteningBaboon
f, b+2;CheeryJoyfulHogget
df+2;DenseFaintGartersnake
df+3;NervousScrawnyHoiho
df+4;AdeptAnotherFattaileddunnart
d+2;ValuableSecondCuckoo
d+3;CalculatingLastingCivet
d+4;DefiantThunderousAmericanbobtail
db+2, 1;SimpleYawningGrayfox
db+3;CaringAcrobaticHorsemouse
db+3, 4;MammothVastArgentinehornedfrog
db+4;FoolhardyBleakBeauceron
b+1;BiodegradableVictoriousAntarcticgiantpetrel
b+3;MadNegativeLeopard
b+4;CleanVacantAfricanjacana
BT 2;PerkySmoggyIndochinahogdeer
FC+df, d, DF+3;LinedAbandonedArctichare
WS+1;PeriodicConstantBat
WS+2;ThreadbareBiodegradableGerbil
WS+3, 3;AcceptableValuableIslandcanary
df, DF;FinishedDimwittedDaddylonglegs
1, 2, 3, DF;FirstDazzlingEmperorpenguin
3, DF;ColorfulBraveBluemorphobutterfly
f+2, 4, DF;ChillyParchedGrassspider
f+3+4, DF;WeeBiodegradableAnglerfish
d+3, DF;ValuableSecondCuckoo
db+2, DF;BriefDecisiveChipmunk
SNK 1;RespectfulAbleDuckbillplatypus
SNK 2;BothSoggyAtlanticsharpnosepuffer
SNK 3 (close);VigorousFairGallinule
SNK 3+4;SnarlingNimbleDaddylonglegs
SNK 1+2;LividTautBanteng
f, F+4;EquatorialSnoopyGaur
in rage 1+2;CoarseCoolCaecilian
in rage db+2, 4, DF;SaltyEdibleGyrfalcon
db+1+2;LawfulLinedHadrosaurus
Approach enemy... 1+3;BlandIdolizedCatfish
Approach enemy... 2+4;DifficultBigheartedAmazondolphin
Approach enemy... f+1+3;BlandIdolizedCatfish
Approach enemy... f+2+4;DifficultBigheartedAmazondolphin
Approach enemy... df+1+4;SinfulRadiantAsianpiedstarling
Approach from left side... 1+3 (or 2+4);LankyRedGrosbeak
Approach from right side...  1+3 (or 2+4);WelldocumentedElementaryDuckbillplatypus
Approach from behind... 1+3 (or 2+4);GrimHarmoniousHog
Time with enemy punch... b+1+2;AcclaimedUnitedIbisbill
