template;https://gfycat.com/ifr/{url}
1, 2, 2;RepulsiveSeveralClumber
1, 2, 3;BelatedExcitableAfricanrockpython
1, 2, d+4, 4;SomberUnripeHarpseal
1, 4, 3;CoordinatedMellowAbyssiniangroundhornbill
2, 3;FeistyDimAsianelephant
2, d+4, 4;TeemingExcellentHackee
3, 2;CompassionateHonorableElectriceel
3, 3;SolidHotCougar
3, f+3;ScentedBlondGnat
3+4;WetQueasyCobra
uf+3;ReadyLimpIbizanhound
uf+4;WideQualifiedEel
uf+3+4;MadeupShimmeringEyelashpitviper
f+2, 3, 4;TiredCarefreeHalibut
f+2, 4;FarawayCheapArthropods
f+3;FocusedDescriptiveAndeancat
f+4;ShyUnequaledImpala
f+4, 3;LawfulFragrantGelding
f+1+2;TenderBowedErin
f+3+4 (or WR+3+4);LimpingClumsyGardensnake
f, F+3;DeliriousLimpingBarnacle
f, F+4;InnocentSnappyCirriped
f, f, f+3 (or WR+3);ConfusedExhaustedAlligatorgar
df+1, 2;AlienatedActiveEgret
df+1, 4, 2;CorruptBetterGoitered
df+1, 4~4;OrnateGlitteringJaguarundi
df+2;CandidPastKiwi
df+3, 2;FaithfulGiddyAyeaye
d+2;InexperiencedYellowishCrustacean
d+4;BadWelllitAbyssiniancat
d+3+4;DisguisedEasygoingAfricanaugurbuzzard
db+2;WhirlwindThoseKangaroo
db+4, 2, 3;ThornyUncomfortableIrrawaddydolphin
b+1, 1;SnarlingShamelessGuernseycow
b+1, 2, 4, 4;HeartfeltSerpentineGreathornedowl
b+2;VariableEnragedBuckeyebutterfly
CH b+2;NecessaryCleverFritillarybutterfly
b+3;ThisEnormousLeafbird
b+4, 3, 4;CornyMealyHairstreakbutterfly
b+4, 3, d+4;UncomfortableBronzeBarasinga
b+4, 3, d+4~4;LargeWealthyDassie
b+1+2;AmusingAdvancedBilby
FC+df+4;GoodnaturedFlashyBarnacle
WS+1;WillingHeartyCrocodileskink
WS+2, 1;OblongFlippantAustralianshelduck
WS+3;SardonicWiltedArgusfish
SWS+F;HelpfulZestyBonobo
3, 2, F;AngelicGrouchyIndianglassfish
df+1, 2, F;WellinformedOldfashionedHapuku
df+3, 2, F;PlaintiveSafeIndianglassfish
b+1, 2, 4, F;QualifiedSelfishIndianskimmer
SLI 1, 3;PhonyIckyCrab
SLI 2;ImperturbableShadowyGermanspitz
SLI 3;AggressiveFemaleDanishswedishfarmdog
SLI 1+2;GrimGiganticChuckwalla
b+3+4;ImpossibleExaltedDore
WS+2, 1, B;GrandSnarlingAmericanbobtail
SWB 1;DismalImpassionedHound
SWB 2;SimpleInfamousBrahmancow
1, 2, 4;MarvelousConsiderateAnophelesmosquito
2, 4;JauntyPortlyAmericanredsquirrel
df+4;DismalDefensiveFlycatcher
d+3, 4;TestyCorruptFreshwatereel
SWS+1;MildPleasantAmericanquarterhorse
SWS+2;KaleidoscopicOldfashionedAustraliansilkyterrier
SWS+3;ClassicOpenCoral
df+3+4;AncientSlimCheetah
in rage df+1+2;GlossySinfulBluebottle
in rage f, N, d, df+3+4;MedicalEasygoingHake
in rage f, N, d, df+3+4 (second hit only);MedicalEasygoingHake
b+2+3;BleakAjarBeauceron
Approach enemy... 1+3;IllustriousAbandonedAyeaye
Approach enemy... 2+4;OilyComfortableCollie
Approach enemy... f+1+3;IllustriousAbandonedAyeaye
Approach enemy... f+2+4;OilyComfortableCollie
Approach enemy... f, F+3+4;PopularShamelessChafer
Approach from left side... 1+3 (or 2+4);FlamboyantPaltryDarklingbeetle
Approach from right side...  1+3 (or 2+4);BoldWhoppingAsiansmallclawedotter
Approach from behind... 1+3 (or f+1+3);HighlevelSourAmurratsnake
Time with enemy right punch... 1+2;SardonicOddballIntermediateegret
1+2+3;AbandonedSpryJunco
