Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage d+1+2;m;55;20 pc8~17;-22;Throw;Throw;Rage art
f+2+3;m, m (throw);20,6,20;16;6;throw;throw;Rage drive
1, 1;h, m;7, 12;10;-5;6;6;
1, 1, 1+2;h, m (KAT);7, 12;10;-7;4;4;
1, 1, 1;h, m, m (TJ);7,12,21;10;-11;KND;KND;Tail spin
1, 1, 2;h, m, m;7, 12, 24;10;-9;KND;KND;
1, 2, 4;h, m, m (TJ);7, 12, 23;10;3;KND;KND;
1, 2;h, h;7, 8;10;-1;7;7;
1, 2, 2, B;h, h (BT);7, 9;10;-16;-8;-8;
1, 2, 2;h, h, h;7,8,11;10;-12;4;4;
1, 2, 4;h, h, m (TJ);7,8,20;10;-14;KND;KND;
2;h;12;12;-5;1;1;
2, 2;h, m;12,14;12;-6;5;5;
2, 2, 1+2;h, m (KAT);12,14;12;-6;5;5;
2, 2, 2;h, m, h;12,14,16;12;-9;2;2;
2, 2, 2, F;h, m, h (SET);12,14,16;12;-4;7;7;
2, 2, 2, 2;h, m, h, h;12,14,16,16;12;-7;2;2;
2, 2, 2, 2, 2, B;h, m, h, h (TJ) (BT);12, 14, 16, 16;12;-21;-12;-12;
2, 2, 2, 2, 2;h, m, h, h, m (TJ);12,14,16,16,21;12;-10;KND;Launch;
3;h;17;16;-9;7;7;Homing
3, 4;h, h;17,21;16;-5;KND;CS;Tail spin
4;h;16;12;-9;-3;-3;
4, 2;h, h (TJ) (special);16,14;12;-3;6;6;
3+4;m (TJ);14;32 js20~;-5;+6s;+6s;
3+4, 3+4;m, m (TJ);14,16;32;-5;+6s;+6s;
f+2;h;12;13;-9;2;2;
f+2,3;h, h;12,20;13;-6;KND;KND;Homing
f+4;m;14;15;-8;-1;-1;
f+4, F;m (SET);14;15;0;7;7;
f+1+2;m;20;14;-11;KND;KND;
f+3+4;h (TJ);20;18 js10~;-2;KND;Tail spin;Homing, Tail spin
d/f+1;m;10;13;-2;5;5;
d/f+1, 2;m, m;10,12;13;-10;1;1;
d/f+1, 2, 2;m, m, m;10,12,20;13;-14s;KND;KND;
d/f+1, 3;m, h;10,20;13;-9;5;Launch;
d/f+2;m;13;15;-12;Launch;Launch;
d/f+3;m;14;17;-6;2;4;
d/f+3, 2;m, l (TC);14,20;17;-15;KND;KND;
d/f+3, 2, D;m (TC) (cancel);14;17s;-13;-5;-3;
d/f+4;m;13;12;-9;2;2;
d/f+1+2;m, m (TJ);9,20;17;-14;KND;KND;
d/f+3+4;m, m;10,20;17;-2;+7s;+7s;
d/f+3+4, B;m, m (BT);10,20;17;-2;+7s;+7s;
d+1;m;23;19;-3s;+5s;KND;
d+1, D;m;23;19s;-3s;+5s;KND;
d+2;m;11;16;-9;+2s;+2s;
d+2, 1;m, m;11,7;16;-12;-1;-1;
d+2, 1, 2;m, m, m;11,7,7;16;-9;4;4;
d+2, 1, 2, 1+2;m, m, m, m;11,7,7,20;16;-13;KND;KND;
d+3;l;12;16;-14;-3;-3;
d+3, 4;l, h;12,16;;-9;0;0;
d+3, 4, 1;l, h, sm (Special);12,16,10,25;;-11;Throw;Throw;
d+4;l (TC);l;12 cs4~;-13;-2;-2;
d/b+1;sm (TC);5;10 cs4~;-5;6;6;
d/b+2;m;15;16;-6;7;7;
d/b+2, 4;m, m;15,15;16;-9;2;2;
d/b+2, 4, 2;m, m, m (TJ);15,15,21;16;-8s;KND;KND;
d/b+3 of FC d/b+3;l (TC);8;18 cs6~;-25;-14;-14;
d/b+3, 3;l (TC), l(TC);8,7;19 cs6~;-19;-7;-7;
d/b+3, 3, 3;l (TC), l(TC), l(TC);8,7,7;20 cs6~;-19;-7;-7;
d/b+3 x 4;l (TC) x 4;8,7,7,5;21 cs6~;-19;-7;-7;
d/b+3 x 5;l (TC) x 5;8,7,7,5,5,;22 cs6~;-19;-7;-7;
d/b+3 x 6;l (TC) x 6;8,7,7,5,5,5,;23 cs6~;-47;-35;-35;
d/b+3, 3, …, 4;l (TC), l(TC), …., m;8,7,…,15;24 cs6~;-8;KND;KND;
d/b+4;l;11;17;-12;0;+8s;
d/b+1+2;m;25;27;-14;KND;KND;Wall bounce
b+1;h;9;17;1;7;12;
b+1, 1;h, h;9,10;17;5;6;11;
b+1, 1, 1;h, h, h;9,10,11;17;5;6;11;
b+1 x 4;h x 4;9,10,11,12;17;5;6;11;
b+1 x 5;h x 5;9,10,11,12,13;17;5;6;11;
b+1 x 6;h x 6;9,10,11,12,13,14;17;-72;-71;-66;
d/b+3 (after b+1 (,1));l (TC);7;17;-20;-9;-9;
d/b+3, 3 (after b+1  (,1));l (TC), l (TC);7,5;17;-19;-7;-7;
d/b+3, 3, 3 (after b+1 (,1));l (TC), l(TC), l(TC);7,5,5;17;-47;-35;-35;
d/b+3, 3, 4 (after b+1 (,1));l (TC), l(TC), m;7,5,15;17;-8;KND;KND;
b+2;m;23;17 pc8~;-13;KND;KND;
b+3;m;10;21;-10;+1s;+1s;
b+3, 4;m, m;10,23;21;-20;KND;KND;
b+4;m (TJ) (BT);15;18 js17~;-8;6;6;
b+4, 3;m, m;15,20;18 js17~;-16;KND;Launch;
b+1+2;h, m;10,20;17;-11;KND;KND;
b+3+4;(BT);;17;;;;
f, F+2;m;24;19 js21;-10;KND;Launch;
f, F+4;m;11;9 js9~;-17;-1;-1;
f, F+4, 2;m, m;11,23;9 js9~;-17;KND;KND;
f, F+1+2;h!;20;30;KND;KND;KND;
f, F+3+4;m;15;22;-12;1;1;
f, F+3+4, B;m (BT);15;22;-12;1;1;
f, F+3+4, 2;m, m (,h) (TJ);15,15,23;22;-17;KND;KND;
f, F+3+4, 3;m, m (TJ) (BT);15,20;22;-3;KND;KND;
f, F+3+4, U;m (TJ) (Special);15;22;-61;-48;-48;
f, N, d, d/f+2;m (,h);15,23;14 js16~;-17;KND;KND;
qcf+1;m (special);10,25;15;-11;Throw;Throw;
qcf+2;m;21;13;-12s;KND;KND;
qcf+1+2;m;27;20 js20~;-9;D;D;
f, f, f+2;h (throw);20, (,10, 10);15;0;throw;throw;
f, f, f+3;m;30;23 js3~;±0;KND;KND;
