template;https://gfycat.com/ifr/{url}
1, 1, 3;FlimsyJubilantAmethystsunbird
1, 2, 1;OddballAnnualCoral
1, 3, 2;IdolizedVioletCottontail
2, 1, 3;AthleticUnequaledDogfish
2, 1, 4;HollowCommonBluebreastedkookaburra
3, 1, DF;PlasticInfiniteKoala
3, 1, 2;WarpedBriskEgg
3, 1, 4;MildShyAcouchi
4, 1;FixedValuableHackee
4, 3;DenseInformalBelugawhale
4, 4;DismalUnpleasantAoudad
3+4;FrailNiceGoitered
uf+1;LameSickInganue
uf+2;JointScentedCrab
uf+4;ComfortableFlatIndochinahogdeer
f+2, 4;HarshWelltodoArchaeopteryx
f+3~DF;OddHiddenBighornedsheep
f+3, 2;SoulfulGoldenBobwhite
f+3, 3;ShyHappyGuillemot
f+4, 4, 3;SeriousKeyBluebottle
f+4, d+4;DimwittedRightAfricanparadiseflycatcher
f+1+2;DistantCarelessCanadagoose
f, F+2;KindheartedSaneAfghanhound
f, F+2, 1+2;AlienatedUntriedChupacabra
f, F+3;UnsungUnpleasantKouprey
f, F+4;CandidGlaringBuckeyebutterfly
f, f, f+2 (or WR+2);LargeFreshChevrotain
f, f, f+4 (or WR+4);HilariousUntidyAlbino
df+1, 4;BlackandwhiteAccurateBunny
df+2;DisguisedSlipperyJunco
df+3 (close);LeafyColorlessImperatorangel
d+1;GaseousMessyIcterinewarbler
d+2;HardtofindSpryEmeraldtreeskink
d+3, 4;MiserlyDetailedBluewhale
d+4, 1, 3;BlackJauntyCornsnake
d+4, 4;EmbarrassedLastHydatidtapeworm
While enemy is down... d+3+4;PossibleOptimisticIndochinesetiger
qcb+2;BowedAfraidHuman
db+2, 1, 2;AcrobaticAridCricket
db+3 (close);BlandZigzagAustraliancattledog
CH db+3 (close);ShyBaggyAfricanrockpython
Approach crouching enemy... db+3~1+2;AgreeableUnhealthyGoldfinch
b+1, 2;GoodnaturedBogusGrasshopper
b+2, 1, 3;EssentialHopefulDikkops
b+3;MilkyUncommonAnkolewatusi
b+4, 2, 1;AcidicGiganticCaimanlizard
b+4, 3;ReadyDizzyBoilweevil
b+1+2;PrestigiousPeskyBronco
b+3+4;CapitalAdmirableBelugawhale
ub+2;UltimateDirtyHypsilophodon
BT d+3;MeaslyFondGarpike
SS+2, 3;UnlinedScaryBaiji
SS+2, 1+2, 4;WellgroomedTatteredArabianwildcat
SS+2, 1+2, 1+2;DecimalJealousIndianrockpython
SS+3+4;HauntingPhysicalEgg
WS+1, 2;DescriptiveInformalDrafthorse
WS+1, 3;GlumBeneficialFlyingfox
WS+2;BlankFarBubblefish
WS+3;MilkyLazyArchaeopteryx
WS+1+2 (or qcf+1+2);VengefulImaginativeCentipede
While down facing down... 1+2;CheerfulGlassBushbaby
While down facing down... 1+2, 1+2;SereneFlippantAsiandamselfly
Opponent down d+3+4;PossibleOptimisticIndochinesetiger
qcf+1;EverySnarlingCaterpillar
qcf+2;FrenchSparseGopher
qcf+3 (close);CommonLastHornbill
qcf+4;WelloffVastElephant
1+2;FewLiquidConure
in rage d+1+2;BrightVictoriousKakarikis
in rage f, f, f+1+2 (or WR+2);FoolishTemptingCaimanlizard
b+2+3;WhichWarmDesertpupfish
Approach enemy... 1+3;AllKlutzyIceblueredtopzebra
Approach enemy... 2+4;VibrantWhirlwindElver
Approach enemy... uf+3+4;CreamyAnotherKitty
Approach enemy... f+1+3;AllKlutzyIceblueredtopzebra
Approach enemy... f+1+4;UnfoldedFloweryBat
Approach enemy... f+2+3;BigheartedDecisiveHarborporpoise
Approach enemy... f+2+4;VibrantWhirlwindElver
Approach enemy... f, F+1+2;RaggedJovialDarwinsfox
Approach enemy... db+1+2;OpenSelfassuredAmericanrobin
Approach from left side... 1+3 (or 2+4);FinishedWealthyCapeghostfrog
Approach from right side... 1+3 (or 2+4);VainEnragedFirebelliedtoad
Approach from behind... 1+3 (or 2+4);EnormousTemptingIndianabat
Approach crouching enemy... d+1+3 (or d+2+4);MiserlyDisloyalCricket
(During Ambush Tackle) 1;HelpfulUnsteadyLhasaapso
(During Ambush Tackle) 2;GiganticPessimisticCoqui
(During Ambush Tackle) 1+2;AptQueasyBalloonfish
Time with enemy low attack... df+1+2;VigilantBraveKusimanse
Time with enemy high or mid attack... b+1+3 (or b+2+4);InfamousHarmfulBass
